341,218,41,17,1,0
383,217,41,17,1,0
437,215,38,16,1,0
183,225,43,17,1,0
208,303,56,23,1,0
238,222,42,17,1,0
368,276,49,20,1,0
535,212,37,15,1,0
538,204,34,13,1,0
610,206,37,17,1,0
658,207,38,14,1,0
705,205,37,14,1,0
749,204,37,14,1,0
785,257,16,10,1,0
850,202,35,13,1,0
897,262,51,21,1,0
941,200,19,13,1,0
486,202,6,11,1,1
789,252,9,12,1,1
58,300,9,18,1,1
495,200,5,14,1,1
561,199,5,11,1,1
635,162,5,11,1,1
829,157,5,11,1,1
308,171,6,12,1,1
383,168,7,14,1,1
378,150,6,10,1,1
166,123,4,11,1,1
203,115,5,10,1,1
2,233,49,20,1,0
111,228,45,17,1,0
290,218,40,18,1,0
487,211,36,17,1,0
494,268,43,20,1,0
605,276,47,21,1,0
650,273,50,23,1,0
808,200,36,16,1,0
894,197,36,17,1,0
