652,646,129,93,1,0
733,592,163,86,1,0
789,548,134,71,1,0
849,483,134,62,1,0
903,395,112,63,1,0
961,343,102,49,1,0
977,328,96,46,1,0
947,252,211,108,1,0
1024,234,144,69,1,0
1033,188,188,71,1,0
1075,171,154,80,1,0
1078,157,171,79,1,0
1149,147,145,70,1,0
1154,135,154,76,1,0
1203,111,98,50,1,0
1230,91,121,59,1,0
1202,74,130,53,1,0
1194,68,43,19,1,0
1208,72,49,21,1,0
1073,5,29,23,1,0
1167,40,115,38,1,0
1155,46,37,19,1,0
1162,55,40,17,1,0
1136,4,69,46,1,0
1172,2,68,51,1,0
1211,1,60,52,1,0
1276,8,59,46,1,0
1311,4,49,49,1,0
958,26,40,17,1,0
797,100,53,25,1,0
785,112,52,25,1,0
750,121,55,28,1,0
669,119,86,35,1,0
486,259,96,51,1,0
574,247,27,22,1,0
603,256,28,22,1,0
320,336,93,52,1,0
355,330,333,321,1,0
136,309,74,54,1,0
184,379,85,62,1,0
9,311,98,61,1,0
0,400,234,253,1,0
0,71,43,20,1,0
52,66,7,26,1,1
82,71,50,22,1,0
433,679,351,86,1,0
619,0,38,15,1,0
