254,662,219,101,1,0
281,593,192,95,1,0
304,521,194,90,1,0
349,455,171,80,1,0
383,397,142,77,1,0
391,363,148,61,1,0
388,330,154,60,1,0
419,294,133,58,1,0
197,318,136,56,1,0
258,284,137,57,1,0
220,216,183,89,1,0
342,198,112,48,1,0
454,252,124,61,1,0
735,544,190,92,1,0
764,435,164,81,1,0
736,304,140,61,1,0
738,282,119,41,1,0
735,255,120,39,1,0
737,235,108,36,1,0
739,213,98,35,1,0
742,192,91,30,1,0
735,169,85,36,1,0
464,231,110,45,1,0
478,204,107,45,1,0
477,188,108,40,1,0
494,169,93,34,1,0
494,152,97,31,1,0
511,137,78,30,1,0
517,119,80,34,1,0
527,101,78,30,1,0
550,59,61,34,1,0
555,46,65,34,1,0
574,29,63,27,1,0
736,88,69,33,1,0
736,78,66,23,1,0
735,63,62,22,1,0
723,36,63,24,1,0
721,28,65,20,1,0
721,21,58,16,1,0
719,13,58,18,1,0
